Year,MSHA ID,Mine Name,Mine State,Mine County,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Coal Supply Region,Production (short tons),Average Employees,Labor Hours
2023,1505215,Moore Processing,Kentucky (East),Harlan,Active,Underground,Operating Subsidiary,Preparation Plant,"Jrl Coal, Inc.","966 Route 990, Coalgood, KY 40818",,Appalachia Central,0,33,"65,130"
2023,1510657,Totz Prep Plant,Kentucky (East),Harlan,Active,Surface,Independent Producer Operator,Preparation Plant,4th Gen Fuels,"P.O. Box 269, Grays Knob, KY 40829",,Appalachia Central,0,16,"48,898"
2023,1510657,Totz Prep Plant,Kentucky (East),Harlan,Active,Underground,Independent Producer Operator,Preparation Plant,4th Gen Fuels,"P.O. Box 269, Grays Knob, KY 40829",,Appalachia Central,0,0,494
2023,1512428,Prep Plant,Kentucky (East),Harlan,"Active, men working, not producing",Surface,Independent Producer Operator,Preparation Plant,"Double Branch Energy, Llc.","302 South Jefferson St, Roanoke, VA 24011",,Appalachia Central,0,7,"14,430"
2023,1516054,Cave Branch Plant,Kentucky (East),Harlan,Active,Underground,Independent Producer Operator,Preparation Plant,"Bluegrass Natural Resources, L","144 E Market Place Blvd, Knoxville, TN 37922",,Appalachia Central,0,38,"1,10,015"
2023,1518198,Panther Mine,Kentucky (East),Harlan,Active,Underground,Independent Producer Operator,Mine only,"Bluegrass Natural Resources, L","144 E Market Place Blvd., Knoxville, TN 37922",,Appalachia Central,"5,15,047",108,"2,71,773"
2023,1518361,Tyree Mine,Kentucky (East),Harlan,Active,Underground,Independent Producer Operator,Mine only,"Bluegrass Natural Resources, L","144 Market Place Blvd., Knoxville, TN 37922",,Appalachia Central,"2,70,365",87,"2,11,715"
2023,1518423,Right Fork Splint,Kentucky (East),Harlan,Active,Surface,Operating Subsidiary,Mine only,"Jrl Coal, Inc.","966 Rt. 990, Coalgood, KY 40818",,Appalachia Central,"1,41,910",32,"68,045"
2023,1519827,Putney Darby Mine #1,Kentucky (East),Harlan,Active,Underground,Operating Subsidiary,Mine only,Jrl Coal Inc,"966 Route 990, Coalgood, KY 40818",,Appalachia Central,"2,29,639",56,"1,18,941"
2023,1519858,Cranks Creek,Kentucky (East),Harlan,Active,Surface,Independent Producer Operator,Mine only,Nally & Hamilton Enterprises I,"P.O. Box 249, Calvin, KY 40813",,Appalachia Central,"1,64,078",31,"1,00,410"
2023,1519860,Orchard Branch Owl Mine,Kentucky (East),Harlan,Active,Underground,Independent Producer Operator,Mine only,"Bluegrass Natural Resources, L","144 E. Market Place Blvd., Knoxville, TN 37922",,Appalachia Central,"52,753",29,"55,909"
2023,1519869,Magnum #2,Kentucky (East),Harlan,Active,Underground,Operating Subsidiary,Mine only,Jrl Coal Inc,"966 Route 990, Coalgood, KY 40818",,Appalachia Central,"2,28,930",64,"1,51,857"
2023,1519897,Kelly Branch,Kentucky (East),Harlan,Active,Surface,Independent Producer Operator,Mine only,"Nally & Hamilton Enterprises,","P.O. Box 249, Calvin, KY 40813",,Appalachia Central,"1,61,085",35,"1,07,710"
2023,1519900,Old House Mining #1,Kentucky (East),Harlan,Active,Surface,Independent Producer Operator,Mine only,Old House Mining. Llc,"P.O. Box 925, Hyden, KY 41749",,Appalachia Central,"54,235",11,"26,342"
2023,1519928,Seagraves Creek H-1,Kentucky (East),Harlan,Active,Surface,Independent Producer Operator,Mine only,4th Gen Fuels Llc.,"P.O. Box 298, Grays Knob, KY 40829",,Appalachia Central,"87,730",10,"28,803"
2023,1519937,Catron Mountain,Kentucky (East),Harlan,Active,Surface,Independent Producer Operator,Mine only,Black Mountain Energy Llc,"P.O. Box 273, Grays Knob, KY 40829",,Appalachia Central,"4,723",10,"10,836"
2023,1519939,Coalgood Darby 1,Kentucky (East),Harlan,Active,Underground,Independent Producer Operator,Mine only,Jrl Coal,"966 Route 990, Coalgood, KY 40818",,Appalachia Central,"10,928",21,"14,925"
2023,1519945,Smith #2,Kentucky (East),Harlan,Active,Underground,Independent Producer Operator,Mine only,Jrl Coal Inc,"966 Highway 990, Coalgood, KY 40818",,Appalachia Central,"12,174",18,"8,114"
2023,1514335,Warrior Preparation Plant,Kentucky (West),Hopkins,Active,Underground,Operating Subsidiary,Preparation Plant,"Warrior Coal, Llc","57 J.E. Ellis Road, Madisonville, KY 42431",,Illinois Basin,0,34,"81,565"
2023,1517216,Cardinal,Kentucky (West),Hopkins,Active,Underground,Operating Subsidiary,Mine only,Warrior Coal Llc,"57 J.E. Ellis Road, Madisonville, KY 42431",,Illinois Basin,"43,75,920",455,"11,31,121"
